country,player_name,position,club,squad_status,source,last_updated,notes
England,Dean Henderson,Goalkeeper,Crystal Palace,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Jordan Pickford,Goalkeeper,Everton,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,James Trafford,Goalkeeper,Manchester City,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Dan Burn,Defender,Newcastle United,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Marc Guéhi,Defender,Manchester City,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Reece James,Defender,Chelsea,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Ezri Konsa,Defender,Aston Villa,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Tino Livramento,Defender,Newcastle United,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Nico O'Reilly,Defender,Manchester City,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Jarell Quansah,Defender,Bayer Leverkusen,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,Djed Spence,Defender,Tottenham Hotspur,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
England,John Stones,Defender,Manchester City,Final,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,2026-05-22,"Official FA announcement. Final squad, but FIFA final registration rules/injury replacement rules still apply."
